variable,frame,sum,var,N,g_zero,mean,sd,alpha,dispersion,g_zero_rel,frame_usage,frame_usage_int
R1,1,83967.6109152719,0.10278784012618,127948,115210,0.656263567349798,0.320605427474614,0.783994826648807,-0.77814048321703,4.5,5,5
R1,2,21412.921361265,0.0560035479508352,127948,59476,0.167356436687287,0.236650687619612,0.199929703699789,-0.251526271284755,2.3,1.3,1
R1,3,22567.4677234631,0.0725687555724795,127948,53249,0.176379995962915,0.269385885993456,0.210709555183272,-0.299677596172372,2.1,1.3,1
R2,1,57436.0983851338,0.13302204798964,79355,67266,0.723786760571278,0.364721877585702,0.36399589789802,-0.886761283504846,4.2,5,5
R2,2,9648.40129297675,0.0679267328266296,79355,22781,0.121585297624305,0.260627574954435,0.0611458401712484,-0.275500931754911,1.4,0.8,1
R2,3,12270.5003218895,0.0880195019573546,79355,25380,0.154627941804416,0.296680808205308,0.0777631473568221,-0.358960522744096,1.6,1.1,1
R3,1,10029.7686994207,0.194719819985101,26495,12848,0.378553262857925,0.441270687883413,0.0787957440901331,-0.779523957017537,2.4,5,5
R3,2,7524.75498558364,0.16367755775945,26495,10610,0.284006604475699,0.40457083157273,0.0591158865128411,-0.670326522041032,2,3.8,4
R3,3,8940.47631499564,0.185009360031976,26495,11800,0.337440132666376,0.430127144030665,0.0702380588099683,-0.747000367222469,2.2,4.5,4
R4,1,66833.4509878243,0.0938503145009941,162392,134284,0.411556301959606,0.306349986944661,0.650451472992272,-0.533129989263207,4.1,5,5
R4,2,50144.4940536133,0.0737244439146138,162392,125111,0.308786726277238,0.271522455636019,0.488027470339173,-0.405633950996533,3.9,3.8,4
R4,3,45414.0549585624,0.0756333919389723,162392,120473,0.279656971763156,0.275015257647594,0.441988832025604,-0.383328348238639,3.7,3.4,3
R5,1,62737.8215902346,0.126724941340731,83311,72413,0.75305567800452,0.355984467836353,0.352017710872863,-0.905420764108628,4.3,5,5
R5,2,8640.44872989099,0.057014184957641,83311,27706,0.103713179890903,0.23877643300301,0.0484809785503295,-0.230335228808563,1.7,0.7,1
R5,3,11932.7296798745,0.0879766314249216,83311,27691,0.143231142104577,0.296608549143348,0.0669537462395396,-0.371284802204124,1.7,1,1
R6,1,35911.0392699442,0.142446044366894,48508,40430,0.74031168611248,0.377420249015462,0.258839533441096,-0.916696585865898,4.2,5,5
R6,2,9646.95573566593,0.115986446520758,48508,16708,0.198873499951883,0.340567829544656,0.0695333126667976,-0.477163409071794,1.7,1.3,1
R6,3,2950.00499438987,0.0430690950068349,48508,5928,0.0608148139356369,0.207530949515572,0.0212630414468638,-0.208413173276593,0.6,0.4,0
R7,1,53002.2835026461,0.135557417122096,109908,83581,0.482242270832388,0.368181228638962,0.406004949126958,-0.670804061062083,3.8,5,5
R7,2,21469.9217723329,0.0749431645202859,109908,58584,0.195344486045901,0.273757492171969,0.164462621624606,-0.316935626162699,2.7,2,2
R7,3,35435.794725021,0.123162328517394,109908,69293,0.322413243121711,0.35094490809441,0.271443173460389,-0.52170550658043,3.2,3.3,3
R8,1,19491.9474647536,0.193369761142383,33153,23397,0.587939174878702,0.439738287100842,0.148670746712632,-0.876075188098723,3.5,5,5
R8,2,2108.84536029976,0.0432538291746433,33153,5118,0.0636094881398292,0.207975549463496,0.0160847762894993,-0.1987735689781,0.8,0.5,1
R8,3,11552.2071749466,0.183256082309019,33153,16024,0.348451336981469,0.428084200022634,0.0881120406251853,-0.734998922849944,2.4,3,3
R9,1,48678.9804251958,0.131700131093678,115924,82626,0.419921503961179,0.362905126849536,0.356748959311466,-0.611800810379463,3.6,5,5
R9,2,30494.3818348014,0.0928699451689196,115924,68693,0.263054948369633,0.304745705743198,0.223481241582889,-0.406604016572127,3,3.1,3
R9,3,36750.6377400029,0.121415993040215,115924,71793,0.317023547669187,0.348447977523496,0.269330862176249,-0.51380392729408,3.1,3.8,4
R10,1,30975.81185738,0.176828586648439,77928,44027,0.397492709390463,0.420509912663707,0.140861565051998,-0.716022396641648,2.8,4.3,4
R10,2,10693.1144307555,0.0739614262537474,77928,24663,0.137217873302992,0.271958500977166,0.0486266135955196,-0.297657323990043,1.6,1.5,1
R10,3,36259.0737118645,0.184071894395156,77928,49399,0.465289417306545,0.429036005942574,0.164887038115585,-0.76984620167386,3.2,5,5
